,Clinic,Location,Bus Route,Cross Streets,Hours,Language,Patient Eligibility,Special Populations Served,Payer Population Served,Payment Practices,Required Documents,Service Description,Clinical Services,Routine Services,Clinic Type
10,;Bread of Healing Clinic – Cross Lutheran Church;,";1821 N 16th Street, Milwaukee, WI 53205;(414) 977-0001; Fax: (414) 755-6971 ;www.breadofhealingclinic.org; bahorner@townecentremedical.com;","s: 23, 57, and BlueLine  ;", N 16th Street & W Vine Street ;, Monday 9:00 am - 7:30 pm; Tuesday 9:00 am – 5:00 pm;  ;Wednesday 1:30 pm – 7:30 pm; Thursday 1:30 pm – 5:00 pm;  ;Friday 9:00 am – Noon; third Saturday of the month 9:00 am – Noon; Call to schedule an appointment; Walk-ins accepted for established patients;," English, Spanish;", ;  Adults 18 – 65; Clinic will assist with insurance enrollment;, Homeless;, Uninsured;, Completely free to all users;, Photo ID; 2 recent pay stubs or most re-;cent tax returns; list of medications and doses;,";The Bread of Healing Clinic serves uninsured patients in 3 different locations on ;the north side of Milwaukee. Care is provided for patients with chronic illness (dia-;betes, hypertension, COPD/asthma). Most needed medications and labs are also ;provided. The clinic is a medical home and provides case management services ;(including social work and behavioral health) for existing patients.  ;",; Behavioral Health Services;  Psychiatric Services;  Therapy;   Dental Health Services  ;(established patients)    ;  Health Insurance  ;Navigation Services; Laboratory Services; Medication Services;  Primary Care; Social Work Services; Vision Health Services ; Specialty Services; Cardiology; Dermatology; Gynecology ; Ophthalmology /; Optometry; Physical Therapy;,;For established patients only:; Diabetes; Dietary/Nutrition Services; Pregnancy Testing;  STD; TB Testing;,Medical  ;Free or Charitable Clinic;;
11,;Bread of Healing Clinic – Eastbrook Church;,";5385 N Green Bay Avenue, Milwaukee, WI 53209;(414) 228-5220 x107; Fax: ( 414) 755-6971;www.breadofhealingclinic.org; bahorner@townecentremedical.com;","s: 27, PurpleLine;", W Silver Spring Drive and N Green Bay Avenue;, Monday 12:30 pm - 4:00 pm; Thursday 9:00 am – Noon; Call to schedule an appointment; Walk-ins accepted for established patients;, English;, ;  Adults 18 – 65; Clinic will assist with insurance enrollment;,, Uninsured;, Completely free to all users;, Photo ID; 2 recent pay stubs or most  ;recent tax returns; list of medications and doses;,;The Bread of Healing Clinic is a primary care medical home for uninsured patients.  ;,; Behavioral Health Services;  Psychiatric Services;  Therapy; Dental Health Services;  Health Insurance  ;Navigation Services; Laboratory Services; Medication Services;  Primary Care; Social Work Services;  Substance Use Disorder ;Services; Vision Health Services; Specialty Services; Cardiology; Dermatology; Gynecology; Ophthalmology / ; Optometry; Physical Therapy;,; Diabetes; Dietary/Nutrition Services;  Immunizations  ;other than Flu   ; Pregnancy Testing; STD; TB Testing;,Medical  ;Free or Charitable Clinic;;
12,;Bread of Healing Clinic – Travelers Rest Ministries;,";5975 N 40th Street, Milwaukee, WI 53209;(414) 216-3459; Fax: (414) 755-6971;www.breadofhealingclinic.org; bahorner@townecentremedical.com;","s: 12, 30, and 30X;", N 40th Street and W Florist Avenue;, Monday 4:30 pm - 7:30 pm; Wednesday 2:00 pm – 7:30 pm; Call to schedule an appointment; Walk-ins accepted for established patients;, English;, ;  Adults 18 – 65; Clinic will assist existing patients with insurance enrollment;,, Uninsured;, Completely free to all users;, Photo ID; 2 recent pay stubs or most  ;recent tax returns; list of medications and doses;,";The Bread of Healing Clinic is a primary care medical home for uninsured patients.  ;It provides medication, labs, and management of chronic health conditions.;",; Behavioral Health Services;  Psychiatric Services;  Therapy; Dental Health Services;  Health Insurance  ;Navigation Services; Laboratory Services; Medication Services;  Primary Care; Social Work Services;  Substance Use Disorder ;Services; Vision Health Services; Specialty Services; Cardiology; Dermatology; Gynecology; Ophthalmology / ; Optometry; Physical Therapy;,; Diabetes; Dietary/Nutrition Services; Pregnancy Testing; STD  ; TB Testing;,Medical  ;Free or Charitable Clinic;;
13,;Children’s Hospital of Wisconsin —  ;COA Goldin Center Primary Care;,";2320 W Burleigh Street, Milwaukee WI 53206;(414) 431-9563;chw.org ;","s: 27, 60, 80, and PurpleLine;", N 23rd and W Burleigh Streets;, Monday – Friday 8:30 am - 5:00 pm ; Call to schedule an appointment; Walk-ins accepted;," English, Language Line ;",; Children under age 18;, Homeless;, Commercial Insurance; Medicaid / ;BadgerCare; Medicare; Qualified Health Plan Insurer; Uninsured ;, Clinic bills 3rd party payer;," No documents needed; when parents call ;to schedule, necessary information will be gathered ;",;The clinic provides general pediatric primary care services. ;,; Behavioral Health Services;  Psychiatric Services;  Therapy;  Health Insurance  ;Navigation Services; Laboratory Services; Primary Care; Social Work Services;,; Diabetes; Dietary / Nutrition Services; Flu shots;  Immunizations ;other than Flu; Pregnancy Testing; STD;  Weight Loss Programs / ;Support Groups;,Medical;;
14,;Children’s Hospital of Wisconsin — Midtown Pediatrics;,";5433 W Fond Du Lac Avenue, Milwaukee, WI 53216;(414) 277-8900;chw.org;","s: 23, 76, BlueLine, and RedLine;", N 54th Street and W Fond du Lac Avenue;, Monday – Thursday 8:30 am – 4:30 pm;  ;Friday 9:45 am – 5:30 pm; Call to schedule an appointment; Walk-ins accepted;," English, Language Line;",; Children under age 18;,  Homeless;, Commercial Insurance; Medicaid / ;BadgerCare; Medicare; Qualified Health Plan Insurer; Uninsured;, Clinic bills 3rd party payer;," No documents needed; when parents call ;to schedule, necessary information will be gathered;",;The clinic provides general pediatric primary care services. ;,; Behavioral Health Services;  Psychiatric Services;  Therapy;  Health Insurance  ;Navigation Services; Laboratory Services; Primary Care; Social Work Services;  Substance Use Disorder ;Services (by referral);,; Diabetes; Dietary/Nutrition Services; Flu Shots;  Immunizations  ;other than Flu; Pregnancy Testing; STD;,Medical;;
15,;Children’s Hospital of Wisconsin — Next Door Pediatrics;,";2561 N 29th Street, Milwaukee, WI 53210 ;(414) 264-5338;chw.org;","s: 21, 22, 27, and PurpleLine ;", N 29th Street between W Clarke and W Wright ;Streets;, Monday – Friday 8:30 am – 5:00 pm; Call to schedule an appointment; Walk-ins accepted;," English, Language Line;",; Children under age 18;, Homeless;, Commercial Insurance; Medicaid / ;BadgerCare; Medicare; Qualified Health Plan Insurer; Uninsured;, Clinic bills 3rd party payer;," No documents needed; when parents call ;to schedule, necessary information will be gathered;",;The clinic provides general pediatric primary care services. ;,; Behavioral Health Services;  Psychiatric Services;  Therapy;  Health Insurance  ;Navigation Services; Laboratory Services; Primary Care; Social Work Services;,; Diabetes; Dietary/Nutrition Services; Flu Shots;  Immunizations  ;other than Flu; Pregnancy Testing; STD;  Weight Loss Programs / ;Support Groups;,Medical;;
16,;Children’s Hospital of Wisconsin —  ;Northside YMCA Pediatrics;,";1350 W. North Ave, Milwaukee, WI 53205;(414) 431-9559;chw.org ;",s: 12 and 27;, N 14th Street and W North Avenue;, Monday – Thursday 8:30 am – 6:00 pm;  ;Friday 8:00 am – Noon; Call to schedule an  appointment; Walk-ins accepted;," English, Language Line;",; Children under age 18;,  Homeless;, Commercial Insurance; Medicaid / ;BadgerCare; Medicare; Qualified Health Plan Insurer; Uninsured;, Clinic bills third party payer;," No documents needed; when parents call ;to schedule, necessary information will be gathered;",;The clinic provides general pediatric primary care services. ;,; Behavioral Health Services;  Psychiatric Services;  Therapy;  Health Insurance  ;Navigation Services; Laboratory Services; Primary Care; Social Work Services;,; Diabetes ; Dietary/Nutrition Services; Flu Shots;  Immunizations  ;other than Flu; Pregnancy Testing; STD;  Weight Loss Programs / ;Support Groups;,Medical;;
17,;City of Milwaukee Health Department  ;– Keenan Health Center;,";3200 N 36th Street, Milwaukee, WI 53216 ;(414) 286-8840;https://city.milwaukee.gov/Health;","s: 23, 35, 60, and BlueLine;", N 36th Street and W Auer Avenue;," Monday and Thursday 8:00 am-7:15 pm; Tuesday, Wednes-;day, and Friday 8:00 am-4:45 pm; Walk-ins accepted;"," English, Spanish, Language Line;",; All ages; Clinic will assist with insurance enrollment;, Homeless; Pregnant Women;, Commercial Insurance; Medicaid / ;BadgerCare; Medicare; Qualified Health Plan Insurer; Uninsured;, Completely free to all users; clinic bills 3rd ;party payer;, Call to inquire;,;Clinic services include: immunizations; community health access; safe sleep; ;WIC nutrition services; STI/reproductive health; men’s health; and TB prevention/ ;control.;,;  Health Insurance  ;Navigation Services; Laboratory Services; Medication Services; Public Health; Radiology Services; Women’s Health Services;,; HIV;  Immunizations  ;other than Flu      ; STD;,Medical ;Public Health;;
18,;City of Milwaukee Health Department; – Keenan Health Center Sexual Health Clinic;,";3200 N 36th Street, Milwaukee, WI 53216 ;(414) 286-3631 or (414) 286-5526; Fax: (414) 286-8173;city.milwaukee.gov/Health;","s: 23, 35, 60, and BlueLine;", N 36th Street and W Auer Avenue;," Monday and Thursday 11:00 am – 7:15 pm; Tuesday, ;Wednesday, and Friday 8:00 am – 4:15 pm; Walk-ins accepted;"," English, Spanish, Language Line;",; Ages 12 and older; Clinic will assist with insurance enrollment;, Homeless;, Commercial Insurance; Medicaid / ;BadgerCare; Medicare; Qualified Health Plan Insurer; Uninsured;, Completely free to all users;, Identification preferred but not required;,";This is a sexual health walk-in clinic. Patients must be 12 years old or older. The ;clinic provides STI testing, treatment and support; immunizations to qualifying ;individuals; and reproductive health services (emergency contraception and preg-;nancy testing). PrEP services are available Thursday afternoons in partnership with ;AIDS Resource Center of WI (ARCW). Services provided at NWHC by Diverse and ;Resilient 414-390-0444.  ;",;  Health Insurance  ;Navigation Services; Laboratory Services; Medication Services; Women’s Health Services;,"; HIV;  Immunizations  ;other than Flu; Pregnancy Testing; STD;Medical ;Public Health, ",STD/HIV;;
19,;City of Milwaukee Health Department  ;– Northwest Health Center;,";7630 W Mill Road, Milwaukee, WI 53218;(414) 286-8830;https://city.milwaukee.gov/health/locations-and-Schedules;","s: 67, BlueLine;", N 76th Street and W Mill Road;," Monday, Tuesday, Thursday, and Friday 8:15 am - 4:00 pm; ;Wednesday, 3:00 pm - 6:00 pm; Call to schedule an appointment; Walk-ins accepted;"," English, Hmong, Spanish, Language Line;",; All ages; Clinic will assist with insurance enrollment;, Homeless; Pregnant Women;, Commercial Insurance; Uninsured;, Completely free to all users;, Proof of income; photo ID;,";Clinic services include: adolescent community health program; blood pressure ;screening; healthcare access help and referral; infant and adult immunizations; ;WIC (Women, Infants & Children); and food inspector offices.;",;  Health Insurance  ;Navigation Services; Public Health; Women’s Health Services;,; Dietary / Nutrition Services; Flu Shots; HIV;  Immunizations  ;other than Flu  ; STD;,Medical ;Public Health;;
20,;Medical ;Public Health;City of Milwaukee – Southside Health Center;,";1639 S 23rd Street, Milwaukee, WI 53204 ;(414) 286-8620 or (414) 286-6621;  Fax: (414) 286-5480;https://city.milwaukee.gov/Health; rrowla@milwaukee.gov;","s: 27, 54, PurpleLine;", S 23rd Street and W Mitchell Street;, Monday – Friday 8:00 am – 4:45 pm; Call to schedule an appointment;  Walk-ins accepted for immunizations (Monday 3:00 pm – 6:00 ;pm and Tuesday 1:00 pm – 4:00 pm) and for WIC (Wednesday ;8:15 am – 4:00 pm; Thursday 10:45 am – 2:00 pm and 3:00 pm – ;6:15 pm; Friday 8:15 am – 4:00 pm.);," English, Spanish, Language Line;",; All ages; Clinic will assist with insurance enrollment;, Pregnant Women;, Medicaid / BadgerCare; Medicare; ;Qualified Health Plan Insurer; Uninsured;, Completely free to all users;, Proof of income and address;,;Clinic services include: immunizations; WIC nutrition services; breast and cervical ;cancer screening; for people 45+ who meet income eligibility; health insurance ;access; safe sleep classes; and men’s health services.    ;,;  Health Insurance  ;Navigation Services; Public Health; Social Work Services; Women’s Health Services;,,
21,;City on a Hill Free Clinic;,";2224 W Kilbourn Avenue, Milwaukee, WI 53233 ;(414) 931-6670; Fax: (414) 931-1804;www.cityonahillmilwaukee.org;","s: 27, 30, 30X, 31, GoldLine, PurpleLine;", N 23rd Street and W Kilbourn Avenue ;," Monday, Wednesday, and Thursday 10:00 am – 3:00 pm by ;appointment only  ;  Walk-ins accepted the second Saturday of each month Noon – ;3:00 pm;", English;,; Adults 18 – 65; children and persons over the age of 65 will be ;seen on a case by case basis;, Homeless;, Uninsured;, Completely free to all users;, Call to inquire;,";City on a Hill Free Clinic provides urban Milwaukee residents primary care services ;for adults who are uninsured. The clinic is capable of managing acute and chronic ;illness. Many medications are available on site at no cost.  The clinic also offers ;prescription assistance applications for medications that are not available on site.  ;The clinic provides routine laboratory testing for established patients. A monthly ;health outreach is held on the second Saturday of every month. During the health ;outreach, diabetes, blood pressure and cholesterol screening is provided. ;",; Behavioral Health Service         ; Referrals     ; Dental Service Referrals; Laboratory Services;  Medication Services; Primary Care;  Vision Health Services ;(second Saturday of  ;every other month);  Women’s Health Service ;Referrals; Specialty Services  ;  (Additional specialty  ;services available by  ;referral); Foot Care / Podiatry; Occupational Therapy;  Ophthalmology /  ;Optometry  ; Physical Therapy;,;(Additional routine services ;available by referral); Diabetes; Pregnancy Testing;,Medical  ;Free or Charitable Clinic;;
22,;CORE/El Centro;,";130 W Bruce Street, Third Floor, Milwaukee, WI 53204;(414) 384-2673; (414) 384-4585  ;www.core-elcentro.org; info@core-elcentro.org;","s: 15, 19, 23, BlueLine, GreenLine  ;", S 2nd and W Bruce Streets ;, Monday – Friday 9:00 am – 8:00 pm;  ;Saturday 9:00 am – 1:00 pm; Call to schedule an appointment;," English, Spanish;", ;  All ages;,, IRIS; Uninsured;, Sliding fee scale;,,";CORE/El Centro, located on the near Southside of Milwaukee, is a non-profit, ;bilingual, natural healing center which embraces all people and has a passion for ;serving those of low income. The agency’s purpose is to make healing services ;accessible; including massage, acupuncture and energy work, to build community, ;and to inspire to wholeness in all who desire the healing capacities of natural ;therapies. As a non-profit, CORE/El Centro is dedicated to accomplishing this by ;offering natural healing practices and holistic exercises that integrate body, mind ;and spirit and by creating an environment that nurtures self-healing and community ;well-being.;",;  Behavioral Health Services ;  Specialty Services ; Integrative Medicine ; Natural Therapies ; Holistic Therapy;,;  Weight Loss Programs / ;Support Groups;,Medical  ;Free or Charitable Clinic;;
23,;Cudahy Health Department;,";5050 S Lake Drive, Cudahy, WI 53110 ;(414) 769-2239;  Fax: (414) 769-2291;www.cudahy-wi.gov/departments/health/   health@ci.cudahy.wi.us;",s: 55;, S Lake Drive and E Martin Avenue;, Monday – Friday 8:00 am – 4:30 pm; additional hours by ;request ; Call to schedule an appointment; Walk-ins accepted;," English, Spanish, Language Line;",; All ages; Clinic will assist with insurance enrollment;, Pregnant Women;, Medicaid / BadgerCare; Uninsured;, Sliding fee scale; clinic bills 3rd party payer;, None;,";The clinic provides: STD testing and treatment, pregnancy testing, birth control (pill ;or depo) and family planning available to anyone 14 years and older. Well child ;exams available for children birth to 19 years of age. Dental varnish application ;available for children up to age 6. Vaccines available for children. Limited adult ;vaccines available. Prenatal care coordination available for pregnant mothers. ;Services offered are free and/or low cost.;",;  Behavioral Health Services ;(provides screening and ;referrals for treatment); Dental Health Services;  Health Insurance  ;Navigation Services; Medication Services; Public Health; Vision Health Services; Women’s Health Services;,; Flu Shots; HIV;  Immunizations  ;other than Flu; Pregnancy Testing;  STD; TB Testing;,Medical ;Public Health;;
24,;Gerald L Ignace Indian Health Center;,";930 W Historic Mitchell Street, Milwaukee, WI 53204 ;(414) 383-9526; or (414) 316-5000; Fax: (414) 389-3881;www.gliihc.net;  info@gliihc.net;","s: 19, 54, and 80;", S 10th & W Historic Mitchell Streets;, Monday and Wednesday 8:00 am – 5:00 pm; Tuesday and ;Thursday 8:00 am – 7:00 pm; Friday 8:00 am – Noon; Call to schedule an appointment; Walk-ins accepted;," English, Spanish, Language Line;",; All ages; Clinic will assist with insurance enrollment;, American Indians; Low-income; ;Under-served;,  Commercial Insurance; Medicaid / ;BadgerCare; Medicare; Qualified Health Plan Insurer; Uninsured;, Sliding fee scale; clinic bills 3rd party payer;, Proof of income; valid government issued ;ID; insurance card(s) if applicable;,";Medical and behavioral health care services are not limited to American Indians ;only; persons of any race/ethnicity will be seen at the health care center. The ;agency provides comprehensive health care including medical, behavioral health, ;dental, pharmacy, lab, social services, and substance use disorder services (limited ;to persons of American Indian descent), fitness physical therapy, nutritional  ;counseling, and diabetes management.;",; Behavioral Health Services                    ;  Psychiatric Services;  Therapy; Dental Health Services;  Health Insurance  ;Navigation Services; Laboratory Services; Medication Services; Pharmacy On-site; Primary Care; Social Work Services;  Substance Use Disorder ;Services; Vision Health Services; Women’s Health Services; Specialty Services ;  Cardiology;  Gynecology;  Physical Therapy;,; Dementia Screening; Diabetes; Dietary/Nutrition Services; Flu Shots; Hearing; HIV;  Immunizations  ;other than Flu; Pregnancy Testing;  STD; TB Testing;  Weight Loss Programs/ ;Support;,Medical ;FQHC;;
